RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
80336.43,0.0,0.0,0.0,0.0,80336.43,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,0.0,196257.0,196257.0,1.0,1962571.3,
